cond_id,sub_id,block_id,task_id,event_id,stim_id,speaker_id,response,response_time,n_reps,isi
2,1,1,2,25,uso_300ms_91.wav,4,5.419354838709678,3.810990333557129,15,0.3
2,1,1,2,26,uso_300ms_47.wav,3,4.891495601173021,4.12447452545166,15,0.3
2,1,1,2,27,uso_300ms_23.wav,6,6.416422287390029,2.000481605529785,15,0.3
2,1,1,2,28,uso_300ms_47.wav,1,5.316715542521995,1.3123533725738523,15,0.3
2,1,1,2,29,uso_300ms_3.wav,2,4.070381231671554,1.374847412109375,15,0.3
2,1,1,2,30,uso_300ms_67.wav,5,5.551319648093842,1.5639762878417969,15,0.3
2,1,1,2,31,uso_300ms_19.wav,1,3.3079178885630505,1.3748726844787598,15,0.3
2,1,1,2,32,uso_300ms_115.wav,4,4.891495601173021,1.1239867210388184,15,0.3
2,1,1,2,33,uso_300ms_115.wav,6,5.15542521994135,2.294602394104004,15,0.3
2,1,1,2,34,uso_300ms_75.wav,2,4.055718475073314,1.1873679161071775,15,0.3
2,1,1,2,35,uso_300ms_91.wav,5,3.4398826979472146,0.9927542209625244,15,0.3
2,1,1,2,36,uso_300ms_47.wav,3,5.375366568914957,1.2498648166656494,15,0.3
2,1,1,2,37,uso_300ms_67.wav,2,3.967741935483871,1.2498605251312256,15,0.3
2,1,1,2,38,uso_300ms_11.wav,1,2.472140762463344,1.7525618076324463,15,0.3
2,1,1,2,39,uso_300ms_71.wav,5,4.334310850439883,1.1248750686645508,15,0.3
2,1,1,2,40,uso_300ms_99.wav,3,3.8211143695014655,1.313643217086792,15,0.3
2,1,1,2,41,uso_300ms_115.wav,6,5.932551319648094,1.0515649318695068,15,0.3
2,1,1,2,42,uso_300ms_87.wav,4,4.568914956011731,0.9373817443847656,15,0.3
2,1,1,2,43,uso_300ms_87.wav,5,7.07624633431085,1.3123533725738523,15,0.3
2,1,1,2,44,uso_300ms_83.wav,2,5.302052785923754,0.980254888534546,15,0.3
2,1,1,2,45,uso_300ms_83.wav,6,5.829912023460411,0.9998867511749268,15,0.3
